--- 1. Transform to table ---
Data Points,X (Income),Y (Spending)
P1,15.0,39.0
P2,15.0,81.0
P3,16.0,6.0
P4,16.0,77.0
P5,17.0,40.0
P6,17.0,76.0
P7,18.0,6.0
P8,18.0,94.0
P9,19.0,3.0
P10,19.0,72.0
P11,40.0,55.0
P12,42.0,50.0
P13,45.0,45.0
P14,48.0,51.0
P15,50.0,49.0
P16,55.0,55.0
P17,60.0,45.0
P18,62.0,51.0
P19,65.0,55.0
P20,68.0,50.0
P21,70.0,10.0
P22,72.0,90.0
P23,75.0,15.0
P24,78.0,85.0
P25,80.0,20.0
P26,85.0,95.0
P27,88.0,18.0
P28,95.0,90.0
P29,100.0,15.0
P30,110.0,88.0

================ Iteration 1 ================
--- 2. Initialize Centroids (Current) ---
C1,70.0,10.0
C2,16.0,77.0
C3,15.0,39.0
C4,78.0,85.0
C5,19.0,3.0

--- 3. Compute distance and determine cluster ---
Data Points,"Distance to C1(70.0, 10.0)","Distance to C2(16.0, 77.0)","Distance to C3(15.0, 39.0)","Distance to C4(78.0, 85.0)","Distance to C5(19.0, 3.0)",Cluster
"P1 (15.0,39.0)",62.18,38.01,0.0,78.01,36.22,3
"P2 (15.0,81.0)",89.81,4.12,42.0,63.13,78.1,2
"P3 (16.0,6.0)",54.15,71.0,33.02,100.42,4.24,5
"P4 (16.0,77.0)",86.05,0.0,38.01,62.51,74.06,2
"P5 (17.0,40.0)",60.9,37.01,2.24,75.8,37.05,3
"P6 (17.0,76.0)",84.65,1.41,37.05,61.66,73.03,2
"P7 (18.0,6.0)",52.15,71.03,33.14,99.2,3.16,5
"P8 (18.0,94.0)",98.79,17.12,55.08,60.67,91.01,2
"P9 (19.0,3.0)",51.48,74.06,36.22,101.02,0.0,5
"P10 (19.0,72.0)",80.28,5.83,33.24,60.42,69.0,2
"P11 (40.0,55.0)",54.08,32.56,29.68,48.41,56.08,3
"P12 (42.0,50.0)",48.83,37.48,29.15,50.21,52.33,3
"P13 (45.0,45.0)",43.01,43.19,30.59,51.86,49.4,3
"P14 (48.0,51.0)",46.53,41.23,35.11,45.34,56.08,3
"P15 (50.0,49.0)",43.83,44.05,36.4,45.61,55.47,3
"P16 (55.0,55.0)",47.43,44.78,43.08,37.8,63.25,4
"P17 (60.0,45.0)",36.4,54.41,45.4,43.86,58.69,1
"P18 (62.0,51.0)",41.77,52.84,48.51,37.58,64.44,4
"P19 (65.0,55.0)",45.28,53.71,52.5,32.7,69.43,4
"P20 (68.0,50.0)",40.05,58.59,54.13,36.4,67.9,4
"P21 (70.0,10.0)",0.0,86.05,62.18,75.43,51.48,1
"P22 (72.0,90.0)",80.02,57.49,76.49,7.81,101.87,4
"P23 (75.0,15.0)",7.07,85.59,64.62,70.06,57.27,1
"P24 (78.0,85.0)",75.43,62.51,78.01,0.0,101.02,4
"P25 (80.0,20.0)",14.14,85.7,67.72,65.03,63.32,1
"P26 (85.0,95.0)",86.31,71.31,89.64,12.21,113.23,4
"P27 (88.0,18.0)",19.7,93.09,75.96,67.74,70.61,1
"P28 (95.0,90.0)",83.82,80.06,94.87,17.72,115.52,4
"P29 (100.0,15.0)",30.41,104.4,88.32,73.38,81.88,1
"P30 (110.0,88.0)",87.66,94.64,106.89,32.14,124.52,4

--- 4. Compute again and determine new centroids ---
Centroid ID,New X,New Y
C1,78.83,20.5
C2,17.0,80.0
C3,36.71,47.0
C4,76.67,73.22
C5,17.67,5.0

================ Iteration 2 ================
--- 2. Initialize Centroids (Current) ---
C1,78.83,20.5
C2,17.0,80.0
C3,36.71,47.0
C4,76.67,73.22
C5,17.67,5.0

--- 3. Compute distance and determine cluster ---
Data Points,"Distance to C1(78.83, 20.5)","Distance to C2(17.0, 80.0)","Distance to C3(36.71, 47.0)","Distance to C4(76.67, 73.22)","Distance to C5(17.67, 5.0)",Cluster
"P1 (15.0,39.0)",66.46,41.05,23.14,70.53,34.1,3
"P2 (15.0,81.0)",87.95,2.24,40.34,62.16,76.05,2
"P3 (16.0,6.0)",64.48,74.01,45.93,90.55,1.95,5
"P4 (16.0,77.0)",84.5,3.16,36.45,60.79,72.02,2
"P5 (17.0,40.0)",64.83,40.0,20.92,68.29,35.01,3
"P6 (17.0,76.0)",83.09,4.0,35.06,59.73,71.0,2
"P7 (18.0,6.0)",62.53,74.01,45.07,89.22,1.05,5
"P8 (18.0,94.0)",95.41,14.04,50.59,62.24,89.0,2
"P9 (19.0,3.0)",62.34,77.03,47.43,90.87,2.4,5
"P10 (19.0,72.0)",78.94,8.25,30.64,57.68,67.01,2
"P11 (40.0,55.0)",51.94,33.97,8.65,40.95,54.76,3
"P12 (42.0,50.0)",47.19,39.05,6.08,41.73,51.16,3
"P13 (45.0,45.0)",41.77,44.82,8.53,42.42,48.45,3
"P14 (48.0,51.0)",43.37,42.45,11.98,36.27,55.1,3
"P15 (50.0,49.0)",40.54,45.28,13.44,36.03,54.6,3
"P16 (55.0,55.0)",41.93,45.49,19.96,28.31,62.4,3
"P17 (60.0,45.0)",30.9,55.44,23.38,32.78,58.24,3
"P18 (62.0,51.0)",34.84,53.54,25.6,26.63,63.88,3
"P19 (65.0,55.0)",37.17,54.12,29.4,21.64,68.85,4
"P20 (68.0,50.0)",31.43,59.17,31.43,24.79,67.51,4
"P21 (70.0,10.0)",13.72,87.8,49.77,63.57,52.57,1
"P22 (72.0,90.0)",69.83,55.9,55.63,17.42,100.88,4
"P23 (75.0,15.0)",6.7,87.11,49.9,58.24,58.2,1
"P24 (78.0,85.0)",64.51,61.2,56.11,11.85,100.2,4
"P25 (80.0,20.0)",1.27,87.0,51.02,53.32,64.11,1
"P26 (85.0,95.0)",74.76,69.63,68.09,23.32,112.4,4
"P27 (88.0,18.0)",9.5,94.26,58.92,56.37,71.52,1
"P28 (95.0,90.0)",71.36,78.64,72.43,24.85,114.91,4
"P29 (100.0,15.0)",21.87,105.42,70.92,62.72,82.94,1
"P30 (110.0,88.0)",74.35,93.34,83.98,36.46,124.15,4

--- 4. Compute again and determine new centroids ---
Centroid ID,New X,New Y
C1,82.6,15.6
C2,17.0,80.0
C3,43.4,48.0
C4,81.86,79.0
C5,17.67,5.0

================ Iteration 3 ================
--- 2. Initialize Centroids (Current) ---
C1,82.6,15.6
C2,17.0,80.0
C3,43.4,48.0
C4,81.86,79.0
C5,17.67,5.0

--- 3. Compute distance and determine cluster ---
Data Points,"Distance to C1(82.6, 15.6)","Distance to C2(17.0, 80.0)","Distance to C3(43.4, 48.0)","Distance to C4(81.86, 79.0)","Distance to C5(17.67, 5.0)",Cluster
